Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/listings?page=1&limit=20,12777,0,34,72.16227384310889,6.6714000422507524,1856.4050002023578,9734.0,71.29516133074212,0.0,34,56,83,100,170,250,390,530,990,1400,1900
GET,/listings?price_lte=100,2141,0,34,72.69678491390441,7.0507999043911695,1273.2141001615673,9734.0,11.946696439627367,0.0,34,57,84,100,170,250,380,630,880,1300,1300
GET,/listings?price_lte=200,2105,0,36,69.85213933943942,7.236800156533718,1624.795800074935,9734.0,11.74581784465932,0.0,36,59,83,100,170,230,350,430,750,1600,1600
GET,/listings?price_lte=50,2061,0,35,74.89814599686741,7.123799994587898,1357.2005000896752,9734.0,11.500299561920599,0.0,35,61,89,110,180,260,390,540,920,1400,1400
GET,/listings?price_lte=500,2042,0,34,72.05990127157365,7.141900015994906,1362.4493998941034,9734.0,11.394280303465242,0.0,34,59,86,110,170,240,380,460,860,1400,1400
GET,/listings?search=Capitol&page=1&limit=10,1438,0,36,70.28465284833163,8.231200044974685,819.935199804604,4771.0,8.023983876779146,0.0,36,60,87,100,170,250,370,440,740,820,820
GET,/listings?search=Historic&page=1&limit=10,1392,0,36,78.96796400152313,8.362599881365895,1276.7334000673145,4910.0,7.767305672097756,0.0,36,64,90,110,190,260,410,620,1300,1300,1300
GET,/listings?search=Vita&page=1&limit=10,1386,0,33,71.19997619018953,8.011499885469675,1768.0379999801517,406.0,7.733825906269748,0.0,33,57,85,110,170,240,360,500,1600,1800,1800
,Aggregated,25342,0,35,72.44444967584691,6.6714000422507524,1856.4050002023578,8677.240075763555,141.4073709355613,0.0,35,58,85,100,170,250,380,520,980,1600,1900
